id,item,name,quantity,role,material,process,dimensions
AB-AIST-001,1,Four-hole base,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[520.0, 240.0, 20.0]"
AB-AIST-002,2,Study brake drum,1,make-concept,C45 prototype candidate; friction/thermal qualification required,Saw/laser blank; CNC critical faces and bores,"[304.8, 110.0, 304.8]"
AB-AIST-003,3,Pivot clevis -1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[65.0, 100.0, 65.0]"
AB-AIST-004,4,Lever -1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[32.0, 24.0, 290.0]"
AB-AIST-005,5,Lower pivot pin -1,1,make-concept,42CrMo4 candidate; heat treatment / fit unapproved,Turn/grind; specify retention after review,"[19.8, 105.0, 19.8]"
AB-AIST-006,6,Lining -1,1,bought-envelope,Supplier-controlled; illustrative reserved envelope,Buy friction lining / machine carrier to approved retention drawing,"[37.176, 100.0, 180.0]"
AB-AIST-007,7,Shoe carrier -1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Buy friction lining / machine carrier to approved retention drawing,"[41.423, 100.0, 180.0]"
AB-AIST-008,8,Pivot clevis 1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[65.0, 100.0, 65.0]"
AB-AIST-009,9,Lever 1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[32.0, 24.0, 290.0]"
AB-AIST-010,10,Lower pivot pin 1,1,make-concept,42CrMo4 candidate; heat treatment / fit unapproved,Turn/grind; specify retention after review,"[19.8, 105.0, 19.8]"
AB-AIST-011,11,Lining 1,1,bought-envelope,Supplier-controlled; illustrative reserved envelope,Buy friction lining / machine carrier to approved retention drawing,"[37.176, 100.0, 180.0]"
AB-AIST-012,12,Shoe carrier 1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Buy friction lining / machine carrier to approved retention drawing,"[41.423, 100.0, 180.0]"
AB-AIST-013,13,Thruster reserved space,1,bought-envelope,Supplier-controlled; illustrative reserved envelope,Buy selected thruster; replace with vendor STEP,"[100.0, 100.0, 190.0]"
AB-AIST-014,14,Spring/equalizer reserved space,1,interface-envelope,Supplier-controlled; illustrative reserved envelope,Engineer spring/linkage after kinematics,"[160.0, 50.0, 45.0]"
