code,name,stage,applications,shared_components,make_buy,validation,decision,competitors,maturity
AB-MON,Monitoring and inspection,Foundation,All selected industrial segments,"Common data acquisition, calibration, event logs and inspection records",Buy industrial sensors and DAQ; develop software and fixtures,"Measurement uncertainty, mounting repeatability, data quality, false alarms",Do not put AI in the safety loop. Start advisory.,dellner-bubenzer;svendborg;emg,concept
AB-DR,DIN interface drum brakes,Core platform,"Factory cranes, industrial winches and material handling","Base, levers, springs, shoes and adjustments across controlled size variants",Design assembly; outsource metalwork; buy thruster and lining initially,"Holding/dynamic torque, release time, thermal duty, wear, fatigue",Approve one real duty envelope before selecting the first sizes.,galvi;sibre;dellner-bubenzer,concept
AB-DC,Spring-applied disc calipers,Core platform,"Conveyors, winches, cranes and heavy industry","Caliper architecture, lining retention, mounting and spring arrangements",Design assembly; outsource bodies; buy hydraulic actuation parts,"Contact balance, torque, thermal growth, release clearance, seal/spring life",Parallel requirements work; separate lead needed for parallel detailed design.,twiflex;stromag;svendborg;galvi;sibre,concept
AB-SP,Service parts and friction kits,Alongside core,Installed AI Braking product families,"Shoes, pads, bushes, pins, seals and adjustment kits tied to revisions",Buy characterized lining compound; outsource controlled parts,"Friction-pair validation, retention, lot consistency and fit",Start with our own assemblies; competitor compatibility requires separate assessment.,galvi;mondel;svendborg,concept
AB-ROT,"Drums, discs and hubs",Alongside core,Both brake platforms,Machined rotating interfaces and documented material variants,Outsource casting/forging/machining to approved specifications,"Thermal cycles, surface finish, runout, balance, speed and hub strength",Keep each friction pair and rotor material configuration identifiable.,galvi;mondel;twiflex;svendborg,concept
AB-AIST,AISE/AIST interface shoe brakes,Expansion,"Steel mills, ports and export replacement projects",Reuse proven mechanisms where requirements permit; distinct interface families,Design adaptations; outsource metalwork; buy actuation,"Imperial interfaces, severity of duty, endurance and machine qualification",Not just a unit conversion from DIN.,galvi;mondel,concept
AB-ACT,Electrohydraulic thrusters,Expansion,Drum and thruster-operated disc brakes,"Motor, pump, piston, seals and force/stroke variants",Buy initially; evaluate proprietary design after performance and cost studies,"Force-stroke-time curves, temperature, orientation, leakage and endurance","Treat as its own development programme, including electrical requirements.",emg;galvi;dellner-bubenzer,concept
AB-HPU,Hydraulic power units,Expansion,Hydraulically released calipers and emergency brakes,"Reservoir, pump, valves, filtration, sensing and manifolds",Integrate purchased qualified components before custom hydraulic development,"Release/application transients, contamination, leakage, loss of power and pressure",Controlled braking requires system dynamics and machine interface requirements.,galvi;svendborg;stromag;dellner-bubenzer,concept
AB-COUP,Flexible and gear couplings,Expansion,Drive trains with brake drums/discs,Shared hub interfaces and modular rotating components,Buy proven couplings initially; design only against defined demand,"Misalignment, torsion, balance, fatigue and lubrication",Keep coupling torque capacity distinct from braking torque.,galvi;twiflex;dellner-bubenzer,concept
AB-POS,Positive-actuated brakes,Application-led,Process machinery and controlled braking applications,Reuse selected caliper or shoe elements with distinct actuation,Buy actuator/control components; design mechanism variants,"Loss-of-actuation behaviour, modulation, timing and application integration",Does not inherit spring-applied fail-safe behaviour.,galvi;twiflex;stromag,concept
AB-BUF,Industrial buffers,Separate programme,"Cranes, travelling equipment and end stops",Energy absorber families selected by actual impact requirements,Initially partner with specialist energy-absorber suppliers,"Impact energy, peak force, stroke, recovery, temperature and repeated impacts",Cannot qualify from brake torque tests.,galvi;sibre,concept
AB-SPEC,"Storm, locking and special systems",Separate programme,Ports and specialized machinery,"Rail/wheel clamps, locks, turning/locking/braking integrations",Partner first; design against signed system requirements,"Wind/rail interface, static holding, fault states and system integration",Hazardous-area and personnel-transport uses need distinct qualification projects.,dellner-bubenzer;svendborg;twiflex;stromag,concept
