id,item,name,quantity,role,material,process,dimensions
AB-DR-001,1,Four-hole base,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[520.0, 240.0, 20.0]"
AB-DR-002,2,Study brake drum,1,make-concept,C45 prototype candidate; friction/thermal qualification required,Saw/laser blank; CNC critical faces and bores,"[315.0, 110.0, 315.0]"
AB-DR-003,3,Pivot clevis -1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[65.0, 100.0, 65.0]"
AB-DR-004,4,Lever -1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[32.0, 24.0, 290.0]"
AB-DR-005,5,Lower pivot pin -1,1,make-concept,42CrMo4 candidate; heat treatment / fit unapproved,Turn/grind; specify retention after review,"[19.8, 105.0, 19.8]"
AB-DR-006,6,Lining -1,1,bought-envelope,Supplier-controlled; illustrative reserved envelope,Buy friction lining / machine carrier to approved retention drawing,"[36.031, 100.0, 180.0]"
AB-DR-007,7,Shoe carrier -1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Buy friction lining / machine carrier to approved retention drawing,"[40.421, 100.0, 180.0]"
AB-DR-008,8,Pivot clevis 1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[65.0, 100.0, 65.0]"
AB-DR-009,9,Lever 1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Saw/laser blank; CNC critical faces and bores,"[32.0, 24.0, 290.0]"
AB-DR-010,10,Lower pivot pin 1,1,make-concept,42CrMo4 candidate; heat treatment / fit unapproved,Turn/grind; specify retention after review,"[19.8, 105.0, 19.8]"
AB-DR-011,11,Lining 1,1,bought-envelope,Supplier-controlled; illustrative reserved envelope,Buy friction lining / machine carrier to approved retention drawing,"[36.031, 100.0, 180.0]"
AB-DR-012,12,Shoe carrier 1,1,make-concept,S355J2+N candidate; condition and design properties unapproved,Buy friction lining / machine carrier to approved retention drawing,"[40.421, 100.0, 180.0]"
AB-DR-013,13,Thruster reserved space,1,bought-envelope,Supplier-controlled; illustrative reserved envelope,Buy selected thruster; replace with vendor STEP,"[100.0, 100.0, 190.0]"
AB-DR-014,14,Spring/equalizer reserved space,1,interface-envelope,Supplier-controlled; illustrative reserved envelope,Engineer spring/linkage after kinematics,"[160.0, 50.0, 45.0]"
