id,manufacturer,model,property,value,unit,conditions,source_url,source_sha256,pdf_page,document_revision,checked_at,verification,review_method,engineering_approval
SPEC-001,galvi,N(NV)…HYD,calculation friction coefficient,0.42,1,"Published lining calculation assumption, not measured coefficient across all conditions",http://www.galvi.com/moduli/catalogo/schedatecnica/1,2450e36c33806d28c8f9b2a0df5a18c00e5b40b454f6c08aea03f0c9cf27df77,,,2026-09-07,source-checked by AI; not independently tested,archived official product-page text,not approved as design input
SPEC-002,galvi,PD / PL,PD material option,EN-GJL-250,grade,Published cast-iron option; select actual version and duty before comparison,http://www.galvi.com/moduli/catalogo/schedatecnica/12,4a87aaa659417f5b116b36d459360754c7a98f18622deb6285baf798355772d2,,,2026-09-07,source-checked by AI; not independently tested,archived official product-page text,not approved as design input
SPEC-003,galvi,PD / PL,alternative material option,EN-GJS-500-7,grade,Published ductile-iron option; not interchangeable without engineering review,http://www.galvi.com/moduli/catalogo/schedatecnica/12,4a87aaa659417f5b116b36d459360754c7a98f18622deb6285baf798355772d2,,,2026-09-07,source-checked by AI; not independently tested,archived official product-page text,not approved as design input
SPEC-004,dellner-bubenzer,CMB-3 for SF,ambient temperature range,-20 to +70,deg C,Monitoring unit rating; not brake friction-surface temperature,https://www.dellnerbubenzer.com/products/cmb-3-for-sf-brakes,b0285c31a1fc6b8c27aabe5d9be2f5528976cef59bdd50e5a8998447ef7a55ab,,,2026-09-07,source-checked by AI; not independently tested,archived official product-page text,not approved as design input
SPEC-005,dellner-bubenzer,CMB-3 for SF,enclosure protection,IP65,rating,Published standard unit enclosure rating,https://www.dellnerbubenzer.com/products/cmb-3-for-sf-brakes,b0285c31a1fc6b8c27aabe5d9be2f5528976cef59bdd50e5a8998447ef7a55ab,,,2026-09-07,source-checked by AI; not independently tested,archived official product-page text,not approved as design input
SPEC-006,dellner-bubenzer,CMB-3 for SF,fieldbus options,Profibus / Profinet,interface,Options described on product page; confirm selected configuration,https://www.dellnerbubenzer.com/products/cmb-3-for-sf-brakes,b0285c31a1fc6b8c27aabe5d9be2f5528976cef59bdd50e5a8998447ef7a55ab,,,2026-09-07,source-checked by AI; not independently tested,archived official product-page text,not approved as design input
SPEC-007,sibre,SHI 75-1,clamping force,18.3,kN,Air gap c = 1 mm; FA in manufacturer table,https://www.sibre.de/wp-content/uploads/2022/05/SHI_75_2021.pdf,87cfb89eebcbc66d97b77862e97d838c7d80bd679791ee2e9e3db48e398bdbd3,1,M 1501 306 E-DE-2017-01,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-008,sibre,SHI 75-1,release pressure,45,bar,Type 75-1; distinguish release pressure from maximum pressure,https://www.sibre.de/wp-content/uploads/2022/05/SHI_75_2021.pdf,87cfb89eebcbc66d97b77862e97d838c7d80bd679791ee2e9e3db48e398bdbd3,1,M 1501 306 E-DE-2017-01,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-009,sibre,SHI 75-1,maximum pressure,85,bar,Type 75-1; manufacturer hydraulic limit,https://www.sibre.de/wp-content/uploads/2022/05/SHI_75_2021.pdf,87cfb89eebcbc66d97b77862e97d838c7d80bd679791ee2e9e3db48e398bdbd3,1,M 1501 306 E-DE-2017-01,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
SPEC-010,stromag,SH32,maximum braking torque,458000,N m,Overview maximum specifically at disc diameter 3000 mm; not every SH configuration,https://www.stromag.com/-/media/Project/Altramotion/shared/files/Literature/brand/stromag/catalogs/mcc-p-8518-sg-en-a4-web.pdf?rev=d1104cc1554a466487df155561b85270,d0320fa92a53d3f2b8424ad6154be1e5a25037e96734d79ca4803395351c8f51,61,MCC-P-8518-SG-EN-A4 04/25,2026-09-07,source-checked by AI; not independently tested,rendered PDF page and extracted text,not approved as design input
